Player,Team,Agents,Rounds Played,Rating,ACS,K/D Ratio,KAST,ADR,Kills per Round,Assists per Round,First Kills per Round,First Deaths per Round,Headshot %,Clutch Success %,Clutches,Max Kills,Kills,Deaths,Assists,First Kills,First Deaths
aspas,MIBR,"raze, jett",218,1.33,254.2,1.51,79%,166.2,0.91,0.16,0.19,0.11,29%,16%,4/25,30,199,132,34,42,23
mwzera,FUR,"sova, fade, skye",255,1.23,223.8,1.36,76%,144.4,0.82,0.24,0.08,0.03,24%,28%,7/25,28,210,154,61,21,7
keznit,KRÜ,"jett, raze",189,1.19,233.3,1.21,72%,153.8,0.81,0.20,0.21,0.13,18%,5%,1/20,25,153,126,37,40,25
Mazino,KRÜ,"kayo, breach, skye",189,1.19,209.1,1.23,72%,138.7,0.79,0.47,0.09,0.07,27%,14%,2/14,28,150,122,89,17,13
havoc,FUR,"jett, raze",255,1.14,231.1,1.22,71%,148.7,0.80,0.11,0.27,0.15,33%,7%,1/14,23,203,167,28,68,38
Sato,GLRS,"yoru, jett, raze",159,1.14,241.8,1.22,68%,157.0,0.88,0.13,0.18,0.15,35%,8%,1/12,29,140,115,21,28,24
gobera,2G,"viper, killjoy, omen",181,1.13,212.8,1.16,67%,140.4,0.76,0.19,0.10,0.10,27%,27%,6/22,25,138,119,35,19,18
snw,SHN,"jett, raze",167,1.12,249.8,1.17,68%,159.9,0.89,0.08,0.23,0.20,31%,11%,2/19,24,148,126,14,39,34
Melser,KRÜ,"astra, omen, brimstone",189,1.12,191.6,1.20,74%,122.8,0.69,0.28,0.12,0.05,26%,21%,6/29,19,131,109,52,23,9
RgLMeister,GLRS,"astra, omen, brimstone",159,1.11,184.8,1.05,72%,127.7,0.65,0.37,0.03,0.07,33%,18%,7/40,19,103,98,59,5,11
cortezia,MIBR,"cypher, killjoy",218,1.10,216.9,1.29,72%,146.6,0.81,0.11,0.11,0.11,51%,9%,2/23,32,176,136,23,25,24
heat,FUR,"cypher, killjoy, viper",255,1.09,210.9,1.18,69%,147.5,0.78,0.13,0.10,0.10,36%,19%,6/32,28,199,168,33,26,26
pANcada,LOUD,"omen, brimstone",136,1.05,192.1,1.04,68%,124.5,0.71,0.29,0.07,0.10,41%,13%,3/24,18,96,92,40,10,13
lukxo,GLRS,"cypher, viper",159,1.05,232.4,1.15,64%,148.7,0.82,0.13,0.09,0.19,36%,18%,3/17,22,130,113,21,15,30
artzin,MIBR,"deadlock, kayo, gekko",218,1.04,214.4,1.10,76%,135.8,0.74,0.37,0.13,0.09,30%,,0/11,24,162,147,80,28,19
david,SHN,"astra, omen, brimstone",167,1.03,197.4,1.02,74%,140.8,0.71,0.38,0.09,0.07,38%,7%,1/14,24,118,116,64,15,12
cauanzin,LOUD,"sova, skye",136,1.02,214.1,0.98,71%,139.1,0.73,0.28,0.12,0.09,36%,13%,2/16,27,99,101,38,16,12
lz,2G,"omen, astra, brimstone",203,1.00,183.0,0.98,69%,119.6,0.66,0.37,0.05,0.06,39%,24%,6/25,21,134,137,75,11,12
spike,2G,"raze, reyna, yoru",203,0.98,219.6,0.97,76%,138.4,0.74,0.33,0.15,0.11,30%,,0/16,28,151,156,68,31,22
pryze,2G,"skye, sova, fade",203,0.98,166.6,0.94,69%,113.1,0.58,0.26,0.04,0.08,28%,18%,5/28,16,117,125,53,9,16
sw,777,"omen, astra",119,0.97,200.8,0.95,68%,139.5,0.72,0.32,0.09,0.13,37%,36%,4/11,21,86,91,38,11,16
prince,777,"breach, sova, killjoy",119,0.96,200.3,0.94,69%,129.1,0.71,0.22,0.07,0.05,26%,4%,1/25,25,84,89,26,8,6
dgzin,LOUD,"jett, raze",136,0.95,224.4,1.02,67%,139.1,0.78,0.15,0.23,0.21,36%,20%,1/5,22,106,104,21,31,29
murizzz,SHN,"sova, skye, deadlock",167,0.95,189.9,0.89,63%,129.7,0.66,0.22,0.05,0.12,30%,13%,3/23,22,110,124,36,8,20
