Player,Team,Agents,Rounds Played,Rating,ACS,K/D Ratio,KAST,ADR,Kills per Round,Assists per Round,First Kills per Round,First Deaths per Round,Headshot %,Clutch Success %,Clutches,Max Kills,Kills,Deaths,Assists,First Kills,First Deaths
aspas,MIBR,"raze, jett",65,1.33,255.7,1.38,78%,168.4,0.89,0.18,0.18,0.06,35%,25%,2/8,22,58,42,12,12,4
cauanzin,LOUD,sova,78,1.30,258.0,1.37,79%,167.7,0.90,0.32,0.12,0.09,34%,14%,1/7,27,70,51,25,9,7
keznit,KRÜ,"jett, raze",150,1.23,247.1,1.26,72%,160.4,0.87,0.19,0.23,0.13,19%,6%,1/16,25,130,103,28,35,20
mwzera,FUR,"sova, fade, skye",180,1.20,216.4,1.31,77%,137.5,0.79,0.27,0.08,0.02,24%,29%,6/21,22,142,108,49,14,3
pANcada,LOUD,omen,78,1.15,210.5,1.27,71%,132.6,0.78,0.26,0.09,0.12,37%,27%,3/11,18,61,48,20,7,9
Sato,GLRS,"yoru, jett, raze",159,1.14,241.8,1.22,68%,157.0,0.88,0.13,0.18,0.15,35%,8%,1/12,29,140,115,21,28,24
Melser,KRÜ,"astra, omen, brimstone",150,1.13,192.3,1.16,72%,124.6,0.68,0.31,0.11,0.05,26%,20%,5/25,18,102,88,47,17,8
havoc,FUR,"jett, raze",180,1.13,233.0,1.25,73%,149.1,0.82,0.09,0.28,0.14,34%,13%,1/8,23,148,118,16,51,25
Mazino,KRÜ,"kayo, breach, skye",150,1.12,203.4,1.12,71%,135.7,0.77,0.44,0.09,0.08,27%,15%,2/13,28,116,104,66,14,12
heat,FUR,"cypher, killjoy, viper",180,1.12,208.1,1.19,72%,147.0,0.77,0.14,0.11,0.09,37%,9%,2/23,28,138,116,26,20,17
snw,SHN,"jett, raze",167,1.12,249.8,1.17,68%,159.9,0.89,0.08,0.23,0.20,31%,11%,2/19,24,148,126,14,39,34
artzin,MIBR,"deadlock, kayo",65,1.12,250.7,1.26,82%,159.2,0.89,0.48,0.09,0.05,28%,,0/4,24,58,46,31,6,3
RgLMeister,GLRS,"astra, omen, brimstone",159,1.11,184.8,1.05,72%,127.7,0.65,0.37,0.03,0.07,33%,18%,7/40,19,103,98,59,5,11
spike,2G,"raze, reyna, yoru",104,1.11,257.4,1.12,76%,157.9,0.88,0.26,0.19,0.13,31%,,0/8,28,91,81,27,20,13
dgzin,LOUD,"jett, raze",78,1.10,243.5,1.25,69%,151.0,0.88,0.15,0.21,0.19,31%,33%,1/3,22,69,55,12,16,15
gobera,2G,"viper, killjoy, omen",82,1.10,211.0,1.14,67%,137.5,0.78,0.23,0.12,0.09,30%,20%,2/10,25,64,56,19,10,7
tuyz,LOUD,"cypher, astra",78,1.06,186.3,1.06,69%,122.7,0.67,0.24,0.05,0.04,30%,25%,2/8,16,52,49,19,4,3
xenom,MIBR,astra,65,1.06,176.7,1.11,78%,105.8,0.63,0.38,0.12,0.14,42%,11%,1/9,18,41,37,25,8,9
lukxo,GLRS,"cypher, viper",159,1.05,232.4,1.15,64%,148.7,0.82,0.13,0.09,0.19,36%,18%,3/17,22,130,113,21,15,30
david,SHN,"astra, omen, brimstone",167,1.03,197.4,1.02,74%,140.8,0.71,0.38,0.09,0.07,38%,7%,1/14,24,118,116,64,15,12
sw,777,omen,39,1.00,194.0,0.93,67%,144.9,0.69,0.36,0.13,0.15,34%,100%,1/1,20,27,29,14,5,6
lz,2G,"omen, astra",104,0.99,176.4,0.93,69%,114.6,0.63,0.40,0.05,0.08,40%,20%,3/15,16,66,71,42,5,8
raafa,FUR,"kayo, breach, gekko",180,0.98,184.4,0.94,70%,118.1,0.62,0.46,0.10,0.09,22%,14%,2/14,18,111,118,83,18,17
Khalil,FUR,"astra, omen, brimstone",180,0.98,168.7,0.97,78%,109.5,0.60,0.39,0.03,0.06,30%,10%,2/21,16,108,111,71,5,10
tkzin,777,"jett, raze",39,0.96,204.5,0.84,62%,139.8,0.69,0.18,0.13,0.13,32%,,0/4,14,27,32,7,5,5
murizzz,SHN,"sova, skye, deadlock",167,0.95,189.9,0.89,63%,129.7,0.66,0.22,0.05,0.12,30%,13%,3/23,22,110,124,36,8,20
cortezia,MIBR,"cypher, killjoy",65,0.94,193.0,1.00,65%,136.3,0.66,0.14,0.08,0.14,39%,,0/8,17,43,43,9,5,9
rubkkoide,SHN,"omen, breach, kayo",167,0.93,178.4,0.85,75%,121.0,0.60,0.39,0.05,0.05,34%,9%,2/23,18,101,119,65,8,9
Shyy,KRÜ,cypher,150,0.90,170.6,0.87,76%,113.7,0.59,0.27,0.05,0.07,26%,11%,1/9,17,88,101,40,7,10
pryze,2G,"skye, sova",104,0.88,148.0,0.82,67%,100.9,0.52,0.24,0.03,0.07,26%,29%,4/14,14,54,66,25,3,7
shion,777,sova,39,0.86,166.5,0.76,59%,120.5,0.56,0.21,0.08,0.08,20%,,0/7,12,22,29,8,3,3
silentzz,2G,"jett, iso",104,0.83,191.0,0.84,68%,128.4,0.65,0.17,0.14,0.13,33%,13%,1/8,18,68,81,18,15,14
pollo,777,cypher,39,0.80,166.5,0.74,69%,105.6,0.59,0.18,0.08,0.10,32%,,0/6,12,23,31,7,3,4
nzr,MIBR,"skye, sova",65,0.78,158.3,0.86,69%,108.8,0.58,0.25,0.08,0.06,27%,,0/3,15,38,44,16,5,4
adverso,KRÜ,"sova, viper",150,0.76,159.1,0.76,65%,106.1,0.55,0.25,0.07,0.11,23%,,0/11,22,83,109,38,11,16
v1nny,LOUD,"breach, kayo",78,0.73,130.8,0.69,67%,92.9,0.46,0.44,0.00,0.10,30%,,0/10,12,36,52,34,0,8
Urango,GLRS,"sova, fade, raze",159,0.69,149.9,0.67,60%,105.6,0.51,0.18,0.05,0.12,26%,7%,1/14,17,81,121,28,8,19
prozin,GLRS,"omen, deadlock, breach",159,0.66,127.9,0.57,64%,86.1,0.42,0.33,0.03,0.09,25%,,0/8,13,67,118,53,4,15
maxhinh9,SHN,"killjoy, cypher, viper",167,0.64,126.3,0.63,68%,88.2,0.45,0.14,0.04,0.10,18%,,0/18,17,75,120,24,6,16
prince,777,breach,39,0.62,129.0,0.63,46%,76.9,0.49,0.13,0.05,0.08,28%,,0/8,10,19,30,5,2,3
faithz0r,2G,cypher,22,0.29,76.0,0.30,41%,53.0,0.27,0.09,0.00,0.09,32%,,0/2,6,6,20,2,0,2
